file,contract,status,error,current_slots,recommended_slots,saved_slots,current_wasted,recommended_wasted,saved_wasted,strategy,imports_removed,functions_removed,modifiers_removed,types_replaced,structs_total,structs_improved,struct_saved_slots
real/openzeppelin/contracts/governance/extensions/GovernorTimelockAccess.sol,GovernorTimelockAccess,OK,,3,3,0,28,28,0,DP-bitmask (optim absolut),7,17,0,1,1,0,0
real/openzeppelin/contracts/governance/extensions/GovernorTimelockCompound.sol,,ERROR,error: DeclarationError: Identifier not found or not unique.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/governance/extensions/GovernorTimelockControl.sol,,ERROR,error: DeclarationError: Identifier not found or not unique.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/governance/extensions/GovernorVotes.sol,,ERROR,error: DeclarationError: Identifier not found or not unique.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/governance/extensions/GovernorVotesQuorumFraction.sol,,ERROR,error: DeclarationError: Identifier not found or not unique.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/governance/extensions/GovernorVotesSuperQuorumFraction.sol,,ERROR,error: DeclarationError: Identifier not found or not unique.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/governance/Governor.sol,,ERROR,error: DeclarationError: Undeclared identifier.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/governance/IGovernor.sol,IGovernor,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),2,27,0,0,0,0,0
real/openzeppelin/contracts/governance/TimelockController.sol,TimelockController,OK,,2,2,0,0,0,0,DP-bitmask (optim absolut),4,24,0,0,0,0,0
real/openzeppelin/contracts/governance/utils/IVotes.sol,IVotes,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,6,0,0,0,0,0
real/openzeppelin/contracts/governance/utils/Votes.sol,,ERROR,error: DeclarationError: Identifier not found or not unique.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/governance/utils/VotesExtended.sol,,ERROR,"error: ParserError: Expected pragma, import directive or contract/interface/library/user-defined type/constant/function/error/event definition.",0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC1822.sol,IERC1822Proxiable,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC4337.sol,IAccount,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,16,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC4337.sol,IAccountExecute,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,16,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC4337.sol,IAggregator,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,16,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC4337.sol,IEntryPoint,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,16,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC4337.sol,IEntryPointNonces,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,16,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC4337.sol,IEntryPointStake,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,16,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC4337.sol,IPaymaster,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,16,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC6093.sol,IERC1155Errors,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC6093.sol,IERC20Errors,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC6093.sol,IERC721Errors,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7579.sol,IERC7579AccountConfig,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,15,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7579.sol,IERC7579Execution,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,15,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7579.sol,IERC7579Hook,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,15,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7579.sol,IERC7579Module,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,15,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7579.sol,IERC7579ModuleConfig,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,15,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7579.sol,IERC7579Validator,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,15,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7674.sol,IERC7674,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7786.sol,IERC7786GatewaySource,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,3,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7786.sol,IERC7786Recipient,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,3,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7802.sol,IERC7802,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,2,0,0,0,0,0
real/openzeppelin/contracts/interfaces/draft-IERC7821.sol,IERC7821,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,2,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC1155.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC1155MetadataURI.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC1155Receiver.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC1271.sol,IERC1271,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC1363.sol,IERC1363,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),2,6,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC1363Receiver.sol,IERC1363Receiver,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC1363Spender.sol,IERC1363Spender,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC165.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC1820Implementer.sol,IERC1820Implementer,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC1820Registry.sol,,ERROR,"error: ParserError: Function, variable, struct or modifier declaration expected.",0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC1967.sol,IERC1967,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC20.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC20Metadata.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC2309.sol,IERC2309,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC2612.sol,IERC2612,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC2981.sol,IERC2981,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC3156.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC3156FlashBorrower.sol,IERC3156FlashBorrower,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC3156FlashLender.sol,IERC3156FlashLender,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,3,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC4626.sol,IERC4626,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),2,16,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC4906.sol,IERC4906,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),2,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC5267.sol,IERC5267,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC5313.sol,IERC5313,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC5805.sol,IERC5805,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),2,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC6372.sol,IERC6372,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,2,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC6909.sol,IERC6909,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,13,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC6909.sol,IERC6909ContentURI,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,13,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC6909.sol,IERC6909Metadata,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,13,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC6909.sol,IERC6909TokenSupply,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,13,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC721.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC721Enumerable.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC721Metadata.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC721Receiver.sol,,ERROR,Niciun contract returnat de solc.,0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC7751.sol,IERC7751,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,0,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC777.sol,IERC777,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,13,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC777Recipient.sol,IERC777Recipient,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC777Sender.sol,IERC777Sender,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/interfaces/IERC7913.sol,IERC7913SignatureVerifier,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),0,1,0,0,0,0,0
real/openzeppelin/contracts/metatx/ERC2771Context.sol,ERC2771Context,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,6,0,0,0,0,0
real/openzeppelin/contracts/metatx/ERC2771Forwarder.sol,ERC2771Forwarder,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),6,9,0,0,0,0,0
real/openzeppelin/contracts/mocks/AccessManagedTarget.sol,AccessManagedTarget,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),2,4,0,0,0,0,0
real/openzeppelin/contracts/mocks/AccessManagerMock.sol,AccessManagerMock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,3,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountECDSAMock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountEIP7702Mock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountEIP7702WithModulesMock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountERC7579HookedMock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountERC7579Mock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountERC7913Mock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountMock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountMultiSignerMock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountMultiSignerWeightedMock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountP256Mock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountRSAMock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/AccountMock.sol,AccountWebAuthnMock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),18,15,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/modules/ERC7579Mock.sol,,ERROR,"error: ParserError: Source ""interfaces/draft-IERC7579.sol"" not found: File not found. Searched the following locations: """".",0,0,0,0,0,0,,0,0,0,0,0,0,0
real/openzeppelin/contracts/mocks/account/utils/ERC7579UtilsMock.sol,ERC7579UtilsGlobalMock,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),1,4,0,0,0,0,0
real/openzeppelin/contracts/mocks/ArraysMock.sol,AddressArraysMock,OK,,1,1,0,0,0,0,DP-bitmask (optim absolut),1,34,0,0,0,0,0
real/openzeppelin/contracts/mocks/ArraysMock.sol,Bytes32ArraysMock,OK,,1,1,0,0,0,0,DP-bitmask (optim absolut),1,34,0,0,0,0,0
real/openzeppelin/contracts/mocks/ArraysMock.sol,BytesArraysMock,OK,,1,1,0,0,0,0,DP-bitmask (optim absolut),1,34,0,0,0,0,0
real/openzeppelin/contracts/mocks/ArraysMock.sol,StringArraysMock,OK,,1,1,0,0,0,0,DP-bitmask (optim absolut),1,34,0,0,0,0,0
real/openzeppelin/contracts/mocks/ArraysMock.sol,Uint256ArraysMock,OK,,1,1,0,0,0,0,DP-bitmask (optim absolut),1,34,0,0,0,0,0
real/openzeppelin/contracts/mocks/AuthorityMock.sol,AuthorityDelayMock,OK,,2,2,0,31,31,0,DP-bitmask (optim absolut),2,9,0,0,0,0,0
real/openzeppelin/contracts/mocks/AuthorityMock.sol,AuthorityNoDelayMock,OK,,1,1,0,31,31,0,DP-bitmask (optim absolut),2,9,0,0,0,0,0
real/openzeppelin/contracts/mocks/AuthorityMock.sol,AuthorityNoResponse,OK,,0,0,0,0,0,0,DP-bitmask (optim absolut),2,9,0,0,0,0,0
